ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
7446;M;Apor Vilmos Katolikus Fõiskola;Religious Science;katekéta-lelkipásztori munkatárs;"Catechist; pastoral staff";B;2159;215;2;252;Professionals;Database and network professionals;1;HU102;30;190000
7447;F;Eötvös Loránd Tudományegyetem;Informatics;programozó matematikus;NA;F;1322;132;1;133;Managers;Information and communications technology services managers;1;HU101;40;810000
7448;F;Szegedi Tudományegyetem;Agricultural Science;élelmiszermérnöki;Food engineering;B;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU333;20;63000
7449;M;Szegedi Tudományegyetem;Arts and Humanities;kommunikáció;NA;E;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU102;40;112965
7450;M;Apor Vilmos Katolikus Fõiskola;Social Science;szociálpedagógus;NA;F;9310;931;9;931;Manual workers;Mining and construction labourers;0;HU102;20;49200
7451;M;Nyíregyházi Fõiskola;Social Science;informatikus könyvtáros;Library and information;B;9112;911;9;911;Manual workers;"Domestic; hotel and office cleaners and helpers";0;HU102;10;24570
7452;M;Eötvös Loránd Tudományegyetem;Social Science;társadalmi tanulmányok;Social studies;B;2626;262;2;263;Professionals;Social and religious professionals;1;HU101;20;79000
7453;F;Kecskeméti Fõiskola;Teacher Training;óvodapedagógus;Kindergarten teacher;B;5253;525;5;541;"Clerical support workers; service and sales workers";Protective services workers;0;not NUTS special tax ;40;213052
7454;F;Szent István Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;3641;364;3;334;Technicians and associate professionals;Administrative and specialised secretaries;1;not NUTS important taxpayer;40;264501
7455;M;Eszterházy Károly Fõiskola;Sport Science;sportszervezõ;Sports organizer;B;5299;529;5;516;"Clerical support workers; service and sales workers";Other personal services workers;0;HU333;40;103567
7456;F;Debreceni Egyetem;Law;jogász;NA;E;2619;261;2;261;Professionals;Legal professionals;1;HU311;40;182004
7457;F;Szent István Egyetem;Arts and Humanities;andragógia;Andragogy;B;9112;911;9;911;Manual workers;"Domestic; hotel and office cleaners and helpers";0;HU331;25;61425
7458;F;Miskolci Egyetem;Social Science;politológia;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU212;40;222200
7459;M;Óbudai Egyetem;Computer Science and Information Technology;mérnökinformatikus;IT  engineer ;B;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;472000
7460;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;építészmérnöki;NA;E;2115;211;2;216;Professionals;"Architects; planners; surveyors and designers";1;HU101;40;350000
7461;F;Szent István Egyetem;Social Science;szociális munka;Social work;B;1324;132;1;134;Managers;Professional services managers;1;HU102;40;298025
7462;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Computer Science and Information Technology;mérnökinformatikus;IT  engineer ;B;2122;212;2;215;Professionals;Electrotechnology engineers;1;HU101;40;400000
7463;M;Dunaújvárosi Fõiskola;Economic Science;gazdálkodási;NA;F;6211;621;6;621;"Skilled agricultural; forestry and fishery workers";Forestry and related workers;0;HU213;30;50400
7464;F;Nyugat-Magyarországi Egyetem;Hospitality and tourism;idegenforgalmi szakmenedzser;NA;A;4136;413;4;441;Clerical support workers;Other clerical support workers;0;not NUTS important taxpayer;40;127811
7465;F;Szegedi Tudományegyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;2224;222;2;226;Professionals;Other health professionals;1;HU101;36;124036
7466;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;neveléstudományi;NA;M;2910;291;2;261;Professionals;Legal professionals;1;HU101;30;191800
7467;M;Színház- és Filmmûvészeti Egyetem;Arts;színész;NA;E;2726;272;2;265;Professionals;Creative and performing artists;1;HU321;20;54000
7468;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;vegyészmérnöki;Chemical engineering;B;2410;241;2;231;Professionals;University and higher education teachers;1;HU101;6;24150
7469;F;Nyíregyházi Fõiskola;Arts and Humanities;germanisztika;Germanistics;B;2159;215;2;252;Professionals;Database and network professionals;1;not NUTS important taxpayer;40;226143
7470;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;germanisztika;Germanistics;B;3322;332;3;325;Technicians and associate professionals;Other health associate professionals;1;HU102;40;8087
7471;F;Pannon Egyetem;Economic Science;gazdálkodási;NA;F;4129;412;4;441;Clerical support workers;Other clerical support workers;0;HU101;20;100000
7472;M;Miskolci Egyetem;Engineering Science;mûszaki földtudományi;Earth Science;B;1313;131;1;132;Managers;"Manufacturing; mining; construction; and distribution managers";1;HU313;40;0
7473;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2118;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU211;40;189500
7474;M;Gábor Dénes Fõiskola;Computer Science and Information Technology;mérnökinformatikus;IT  engineer ;B;2141;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;137500
7475;F;Nyíregyházi Fõiskola;Social Science;nemzetközi tanulmányok;International Studies;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;183206
7476;F;Általános Vállalkozási Fõiskola;Economic Science;nonprofit gazdálkodási;NA;F;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU101;40;228900
7477;M;Szegedi Tudományegyetem;Agricultural engineering;mezõgazdasági menedzserasszisztens;NA;A;3131;313;3;314;Technicians and associate professionals;Life science technicians and related associate professionals;1;HU333;20;62000
7478;M;Pannon Egyetem;Economic Science;gazdálkodási;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU213;40;273000
