ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
12704;F;Szent István Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;3311;331;3;322;Technicians and associate professionals;Nurses and midwives;1;HU333;40;151295
12705;M;Debreceni Egyetem;Agricultural Science;agrármérnöki;NA;M;2131;213;2;213;Professionals;Life Science Professionals;1;HU332;40;192000
12706;F;Budapesti Corvinus Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;4229;422;4;422;Clerical support workers;Client information workers;0;HU211;40;236000
12707;F;Budapesti Gazdasági Fõiskola;Economic Science;pénzügy és számvitel;Finance and Accounting;B;4121;412;4;431;Clerical support workers;Numerical and material recording clerks;0;HU213;40;113500
12708;M;Debreceni Egyetem;Engineering Science;településmérnöki;NA;F;4224;422;4;422;Clerical support workers;Client information workers;0;not NUTS important taxpayer;40;65103
12709;M;Eszterházy Károly Fõiskola;Arts and Humanities;szabad bölcsészet;Liberal Arts;B;3719;371;2;265;Professionals;Creative and performing artists;1;HU101;10;27000
12710;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;magyar nyelv és irodalom;NA;P;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU101;40;143384
12711;F;Kaposvári Egyetem;Management;titkárságvezetõ;NA;A;4222;422;4;422;Clerical support workers;Client information workers;0;HU232;40;112487
12712;F;Debreceni Egyetem;Arts and Humanities;történelem;History;B;2719;271;3;343;Technicians and associate professionals;"Artistic; cultural and culinary associate professionals";1;HU332;40;120000
12713;F;Pannon Egyetem;Teacher training;angol nyelv és irodalom tanári;NA;P;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;307000
12714;M;Debreceni Egyetem;Engineering Science;építészmérnöki;NA;F;3213;321;3;312;Technicians and associate professionals;"Mining; manufacturing and construction supervisors";1;HU323;20;75500
12715;F;Eötvös Loránd Tudományegyetem;Social Science;szociális munka;Social work;B;4222;422;4;422;Clerical support workers;Client information workers;0;HU101;40;127900
12716;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2122;212;2;215;Professionals;Electrotechnology engineers;1;HU101;40;125000
12717;M;Szegedi Tudományegyetem;Computer Science and Information Technology;programtervezõ informatikus;Software Engineering;B;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;387500
12718;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;andragógia;Andragogy;B;1210;121;1;112;Managers;Managing directors and chief executives;1;HU102;40;180000
12719;F;Budapesti Gazdasági Fõiskola;Economic Science;pénzügy és számvitel;Finance and Accounting;B;4212;421;4;421;Clerical support workers;"Tellers; money collectors and related clerks";0;HU223;30;96848
12720;M;Szegedi Tudományegyetem;Informatics;programtervezõ matematikus;NA;E;2142;214;2;251;Professionals;Software and applications developers and analysts;1;not NUTS important taxpayer;40;520000
12721;M;Eötvös Loránd Tudományegyetem;Computer Science and Information Technology;programtervezõ informatikus;Software Engineering;B;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;360000
12722;M;Gábor Dénes Fõiskola;Informatics;mûszaki informatikai;NA;F;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;88148
12723;F;Eszterházy Károly Fõiskola;Arts and Humanities;anglisztika;Anglistics;B;2499;249;2;235;Professionals;Other teaching professionals;1;HU311;10;30000
12724;F;Zsigmond Király Fõiskola;Economic Science;pénzügy és számvitel;Finance and Accounting;B;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU101;40;156800
12725;M;Nyugat-Magyarországi Egyetem;Arts and Humanities;mûvelõdésszervezõ;NA;F;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU221;40;113500
12726;F;Kecskeméti Fõiskola;Teacher Training;óvodapedagógus;Kindergarten teacher;B;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;197000
12727;F;Budapesti Corvinus Egyetem;Social Science;társadalmi tanulmányok;Social studies;B;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;392047
12728;M;Szent István Egyetem;Social Science;szociális munka;Social work;B;1329;132;1;134;Managers;Professional services managers;1;HU101;40;176770
12729;F;Kaposvári Egyetem;Teacher Training;tanító;Teacher;B;4222;422;4;422;Clerical support workers;Client information workers;0;HU101;40;108000
12730;F;Széchenyi István Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU221;40;109565
12731;F;Általános Vállalkozási Fõiskola;Economic Science;vállalkozásszervezõ;NA;F;4114;411;4;413;Clerical support workers;Keyboard operators;0;HU101;35;94500
12732;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;191000
12733;F;Budapesti Corvinus Egyetem;Economic Science;gazdálkodási;NA;E;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU223;40;172188
12734;M;Nyíregyházi Fõiskola;Arts and Humanities;szabad bölcsészet;Liberal Arts;B;8329;832;8;818;Skilled manual workers;Other stationary plant and machine operators;0;HU323;40;212736
12735;M;Budapesti Gazdasági Fõiskola;Hospitality and tourism;vendéglátó szakmenedzser;NA;A;5132;513;5;513;"Clerical support workers; service and sales workers";Waiters and bartenders;0;HU101;40;117392
12736;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;gazdálkodási;NA;F;4229;422;4;422;Clerical support workers;Client information workers;0;HU101;40;272989
12737;M;Szegedi Tudományegyetem;Natural sciences;matematikatanári;NA;E;2715;271;2;264;Professionals;"Authors; journalists and linguists";1;HU333;40;145100
12738;F;Apor Vilmos Katolikus Fõiskola;Teacher and kindergarten teacher;óvodapedagógus;NA;F;4111;411;4;412;Clerical support workers;Secretaries (general);0;HU101;40;200000
12739;F;Szent István Egyetem;Engineering Science;környezetmérnöki;Environmental engineering;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;75895
12740;M;Tomori Pál Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;1210;121;1;112;Managers;Managing directors and chief executives;1;HU211;40;161000
12741;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2121;212;2;215;Professionals;Electrotechnology engineers;1;not NUTS important taxpayer;40;305781
12742;F;Kaposvári Egyetem;Education;ifjúságsegítõ;NA;A;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU232;20;49305
12743;M;Debreceni Egyetem;Health Science;gyógyszerésztudományi;NA;E;2214;221;2;226;Professionals;Other health professionals;1;HU321;40;250000
12744;F;Debreceni Egyetem;Natural sciences;vegyész;NA;E;2169;216;2;213;Professionals;Life Science Professionals;1;not NUTS important taxpayer;40;282361
12745;F;Budapesti Gazdasági Fõiskola;"Commerce; marketing; business administration";nemzetközi szállítmányozási és logisztikai szakügyintézõ;NA;A;4222;422;4;422;Clerical support workers;Client information workers;0;HU101;40;148045
12746;M;Tomori Pál Fõiskola;Economic Science;gazdálkodási;NA;F;8417;841;8;833;Skilled manual workers;Heavy truck and bus drivers;0;HU331;40;108000
12747;F;Debreceni Egyetem;Natural sciences;biológiatanári;NA;E;5299;529;5;516;"Clerical support workers; service and sales workers";Other personal services workers;0;HU323;40;102070
12748;F;Debreceni Egyetem;Health Science;általános orvostudományi;NA;E;2211;221;2;221;Professionals;Medical doctors;1;HU101;40;195458
12749;M;Széchenyi István Egyetem;Engineering Science;gépészmérnöki;Mechanical Engineer;B;2137;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU221;40;500000
12750;F;Óbudai Egyetem;Economic Science;mûszaki menedzser;NA;F;3621;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;260000
12751;M;Debreceni Egyetem;Teacher training;"ütõhangszertanár; kamaramûvész";NA;F;2493;249;2;235;Professionals;Other teaching professionals;1;HU322;40;108001
12752;F;Pázmány Péter Katolikus Egyetem;Social Science;szociológia;Sociology;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;20;238700
12753;M;Debreceni Egyetem;Informatics;programtervezõ matematikus;NA;E;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU321;40;161000
12754;F;Semmelweis Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;3321;332;3;325;Technicians and associate professionals;Other health associate professionals;1;HU101;40;236432
12755;F;Pázmány Péter Katolikus Egyetem;Social Science;szociálpedagógia;Social pedagogy;B;3511;351;3;341;Technicians and associate professionals;"Legal; social and religious associate professionals";1;HU101;40;176300
12756;M;Budapesti Gazdasági Fõiskola;Economic Science;humán erõforrás menedzser;NA;F;4224;422;4;422;Clerical support workers;Client information workers;0;HU101;40;201940
12757;M;Óbudai Egyetem;Engineering Science;had- és biztonságtechnikai mérnöki;Military and Security Engineering;B;1210;121;1;112;Managers;Managing directors and chief executives;1;HU211;0;195000
12758;F;Semmelweis Egyetem;Sport Science;testnevelõ tanár;NA;E;2421;242;2;233;Professionals;Secondary education teachers;1;HU101;40;212096
12759;M;Szegedi Tudományegyetem;Law;munkaügyi és társadalombiztosítási igazgatási;Labour and Social Security Administration;B;3190;319;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU333;40;134000
12760;M;Nyugat-Magyarországi Egyetem;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;2716;271;2;264;Professionals;"Authors; journalists and linguists";1;HU222;20;54000
12761;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;történelem;NA;P;4136;413;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;160000
12762;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;gépészmérnöki;NA;E;2410;241;2;231;Professionals;University and higher education teachers;1;HU101;12;413880
12763;F;Kodolányi János Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;35;175000
12764;M;Szegedi Tudományegyetem;Teacher training;számítástechnika-tanári;NA;F;5111;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU333;40;123000
12765;F;Semmelweis Egyetem;Health Science;egészségügyi szervezõ;Health organization;B;3190;319;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU101;40;260000
12766;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;építõmérnöki;NA;E;2116;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU212;20;65000
12767;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3623;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;0
12768;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;vegyészmérnöki;Chemical engineering;B;2410;241;2;231;Professionals;University and higher education teachers;1;HU101;4;16100
12769;F;Apor Vilmos Katolikus Fõiskola;Teacher Training;óvodapedagógus;Kindergarten teacher;B;4114;411;4;413;Clerical support workers;Keyboard operators;0;HU102;40;0
12770;M;Széchenyi István Egyetem;Engineering Science;gépészmérnöki;Mechanical Engineer;B;1413;141;1;122;Managers;"Sales; marketing and development managers";1;HU221;40;400000
12771;F;Szegedi Tudományegyetem;Arts and Humanities;andragógia;Andragogy;B;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU333;40;108000
12772;F;Budapesti Gazdasági Fõiskola;Economic Science;nemzetközi gazdálkodás;International Management;B;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;334900
12773;F;Nyíregyházi Fõiskola;Teacher training;vizuális kommunikáció tanári;NA;P;2531;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU333;40;113500
12774;F;Szegedi Tudományegyetem;Economic Science;marketing;NA;M;2137;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU312;40;124295
12775;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;andragógia;Andragogy;B;4134;413;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;240000
12776;F;Budapesti Corvinus Egyetem;Agricultural Science;kertészmérnöki;Horticulturist;B;9224;922;9;933;Manual workers;Transport and storage labourers;0;HU101;20;50000
12777;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;pszichológia;NA;P;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;245000
12778;F;Nyíregyházi Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU101;40;168865
12779;M;Szolnoki Fõiskola;Agricultural Science;mezõgazdasági és élelmiszeripari gépészmérnöki;Agriculture and food Mechanical Engineer;B;1311;131;1;131;Managers;Production and specialised services managers;1;HU322;40;219000
12780;F;Szegedi Tudományegyetem;Economic Science;nemzetközi gazdaság és gazdálkodás;NA;M;3624;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;300000
12781;M;Gábor Dénes Fõiskola;Computer Science and Information Technology;mérnökinformatikus;IT  engineer ;B;2153;215;2;252;Professionals;Database and network professionals;1;HU101;40;380000
12782;F;Eszterházy Károly Fõiskola;"Commerce; marketing; business administration";logisztikai mûszaki menedzserasszisztens;NA;A;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU311;40;150400
12783;F;Szegedi Tudományegyetem;Social Science;nemzetközi tanulmányok;International Studies;B;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU333;20;60000
12784;F;Debreceni Egyetem;Engineering Science;környezetmérnöki;Environmental engineering;B;2137;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU321;40;108000
12785;M;Eötvös Loránd Tudományegyetem;Law;jogász;NA;E;2611;261;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;255000
12786;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;történelem;History;B;4132;413;4;432;Clerical support workers;Material-recording and transport clerks;0;HU102;40;221148
12787;M;Kaposvári Egyetem;Teacher Training;gyógypedagógia;Special education;B;2441;244;2;235;Professionals;Other teaching professionals;1;HU331;40;176000
12788;M;Sapientia Szerzetesi Hittudományi Fõiskola;Teacher training;tanári;NA;M;3511;351;3;341;Technicians and associate professionals;"Legal; social and religious associate professionals";1;HU102;40;200858
12789;F;Nyíregyházi Fõiskola;Arts and Humanities;andragógia;Andragogy;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU323;40;0
12790;M;Debreceni Egyetem;Health Science;gyógyszerésztudományi;NA;E;2214;221;2;226;Professionals;Other health professionals;1;not NUTS important taxpayer;40;285000
12791;F;Budapesti Corvinus Egyetem;Economic Science;vezetés és szervezés;NA;M;3614;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;290000
12792;F;Budapesti Corvinus Egyetem;Arts and Humanities;kommunikáció;NA;E;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;175000
12793;F;Eszterházy Károly Fõiskola;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU312;40;196024
12794;M;Debreceni Egyetem;Engineering Science;mûszaki menedzser;Technical Manager;B;2118;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;349922
12795;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2142;214;2;251;Professionals;Software and applications developers and analysts;1;not NUTS important taxpayer;24;195899
12796;M;Szolnoki Fõiskola;Economic Science;kereskedelem és marketing;Commerce and marketing;B;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU321;40;114018
12797;M;Nyíregyházi Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;7342;734;7;742;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";Electronics and telecommunications installers and repairers;0;HU101;40;93000
12798;F;Miskolci Egyetem;Military sciences;közigazgatási;NA;M;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU311;40;302600
12799;F;Semmelweis Egyetem;Health Science;egészségügyi gondozás és prevenció;Health Care and Prevention;B;2221;222;2;226;Professionals;Other health professionals;1;HU101;40;230000
12800;M;Magyar Táncmûvészeti Fõiskola;Arts;klasszikus balettmûvész;NA;M;2727;272;2;265;Professionals;Creative and performing artists;1;HU101;40;88843
12801;M;Óbudai Egyetem;Economic Science;mûszaki menedzser;NA;F;2531;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU102;40;248000
12802;M;Eszterházy Károly Fõiskola;Natural sciences;földrajz;Geography;B;3144;314;3;351;Technicians and associate professionals;Information and communications technology operations and user support technicians;1;HU102;40;145000
12803;F;Miskolci Egyetem;Economic Science;gazdálkodási;NA;E;2521;252;2;242;Professionals;Administration professionals;1;HU311;40;142000
12804;F;Szegedi Tudományegyetem;Economic Science;gazdálkodási;NA;F;2910;291;2;261;Professionals;Legal professionals;1;HU333;40;234700
12805;F;Edutus Fõiskola;Economic Science;kereskedelem és marketing;Commerce and marketing;B;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU331;40;94000
12806;M;Budapesti Corvinus Egyetem;Military sciences;igazgatásszervezõ;Administration management;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;not NUTS special tax ;40;218400
12807;M;Budapesti Corvinus Egyetem;Social Science;szociológia;NA;M;4224;422;4;422;Clerical support workers;Client information workers;0;HU101;40;550000
12808;F;Pázmány Péter Katolikus Egyetem;Law;jogász;NA;E;4111;411;4;412;Clerical support workers;Secretaries (general);0;HU101;20;47000
12809;M;Pécsi Tudományegyetem;Media and communication studies;sportkommunikátor;NA;A;1329;132;1;134;Managers;Professional services managers;1;HU231;40;108000
12810;F;Pannon Egyetem;Economic Science;turizmus-vendéglátás;Tourism ;B;4111;411;4;412;Clerical support workers;Secretaries (general);0;not NUTS important taxpayer;40;250000
12811;M;Óbudai Egyetem;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU101;35;196200
12812;M;Nyugat-Magyarországi Egyetem;Social Science;szociálpedagógus;NA;F;4224;422;4;422;Clerical support workers;Client information workers;0;HU101;40;299130
12813;F;Szolnoki Fõiskola;Economic Science;kereskedelem és marketing;Commerce and marketing;B;4222;422;4;422;Clerical support workers;Client information workers;0;HU101;40;170000
12814;M;Kodolányi János Fõiskola;Arts and Humanities;mûvelõdésszervezõ;NA;P;8418;841;8;833;Skilled manual workers;Heavy truck and bus drivers;0;HU101;20;44037
12815;F;Szegedi Tudományegyetem;Economic Science;gazdálkodási;NA;E;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;29393
12816;M;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;üzleti kommunikáció;NA;F;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;120000
12817;M;Széchenyi István Egyetem;Engineering Science;gépészmérnöki;Mechanical Engineer;B;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;464202
12818;F;Miskolci Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;250000
12819;F;Apor Vilmos Katolikus Fõiskola;Social Science;szociálpedagógia;Social pedagogy;B;2523;252;2;242;Professionals;Administration professionals;1;not NUTS important taxpayer;40;584080
12820;F;Óbudai Egyetem;Engineering Science;könnyûipari mérnöki;Light industrial engineering;B;2137;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;405886
12821;M;Óbudai Egyetem;Economic Science;mûszaki menedzser;NA;F;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;224400
12822;F;Semmelweis Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;4229;422;4;422;Clerical support workers;Client information workers;0;HU101;40;239311
12823;F;Pázmány Péter Katolikus Egyetem;Law;jogász;NA;E;2615;261;2;261;Professionals;Legal professionals;1;HU101;40;125000
12824;M;Budapesti Corvinus Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;2153;215;2;252;Professionals;Database and network professionals;1;not NUTS important taxpayer;40;113500
12825;M;Nyíregyházi Fõiskola;Engineering Science;közlekedésmérnöki;Traffic engineering;B;2134;213;2;216;Professionals;"Architects; planners; surveyors and designers";1;HU101;40;311598
12826;M;Debreceni Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;3614;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU322;10;32000
12827;F;Kaposvári Egyetem;Teacher training;mérnöktanári (agrár);NA;E;5112;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU101;40;179665
12828;M;Nyugat-Magyarországi Egyetem;Agricultural Science;agrármérnöki;NA;E;2522;252;2;242;Professionals;Administration professionals;1;HU211;40;250000
12829;F;Zsigmond Király Fõiskola;Economic Science;emberi erõforrások;Human resources;B;2523;252;2;242;Professionals;Administration professionals;1;not NUTS important taxpayer;40;420740
12830;F;Zsigmond Király Fõiskola;Arts and Humanities;mûvelõdésszervezõ;NA;F;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;not NUTS important taxpayer;40;149942
12831;M;Szegedi Tudományegyetem;Arts and Humanities;történelem;History;B;2421;242;2;233;Professionals;Secondary education teachers;1;HU333;40;134300
12832;M;Szent István Egyetem;Agricultural Science;növényorvosi;NA;M;2131;213;2;213;Professionals;Life Science Professionals;1;HU331;40;204000
12833;M;Budapesti Corvinus Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;24;19565
12834;M;Budapesti Corvinus Egyetem;Agricultural Science;kertészmérnöki;NA;M;1210;121;1;112;Managers;Managing directors and chief executives;1;HU221;40;260000
12835;F;Tomori Pál Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;5133;513;5;513;"Clerical support workers; service and sales workers";Waiters and bartenders;0;HU331;20;54000
12836;M;Szegedi Tudományegyetem;Arts and Humanities;latin nyelv és irodalom;NA;E;2421;242;2;233;Professionals;Secondary education teachers;1;HU212;40;173400
12837;F;Eötvös Loránd Tudományegyetem;Teacher training;tanári;NA;M;1328;132;1;134;Managers;Professional services managers;1;HU212;40;115000
12838;F;Nyugat-Magyarországi Egyetem;Hospitality and tourism;idegenforgalmi szakmenedzser;NA;A;5129;512;5;524;"Clerical support workers; service and sales workers";Other sales workers;0;HU221;40;88956
12839;M;Debreceni Egyetem;Social Science;szociális munka;Social work;B;5254;525;5;541;"Clerical support workers; service and sales workers";Protective services workers;0;not NUTS special tax ;60;184282
12840;F;Dunaújvárosi Fõiskola;Engineering Science;mûszaki menedzser;Technical Manager;B;3115;311;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;not NUTS important taxpayer;40;366299
12841;F;Széchenyi István Egyetem;Engineering Science;közlekedésmérnöki;Traffic engineering;B;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU222;40;160300
12842;F;Semmelweis Egyetem;Health Science;orvosi laboratóriumi és képalkotó diagnosztikai analitikus;Laboratory and diagnostic imaging analyst;B;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;not NUTS important taxpayer;40;192815
12843;M;Óbudai Egyetem;Engineering Science;mûszaki menedzser;Technical Manager;B;1419;141;1;121;Managers;Business services and administration managers;1;HU101;40;305000
12844;M;Debreceni Egyetem;Computer Science and Information Technology;gazdaságinformatikus;Business Information;B;2159;215;2;252;Professionals;Database and network professionals;1;not NUTS important taxpayer;40;297712
12845;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;mérnök-fizikus;NA;E;2161;216;2;211;Professionals;Physical and earth science professionals;1;HU101;40;275443
12846;F;Szegedi Tudományegyetem;Arts and Humanities;olasz nyelv és irodalom;NA;E;4223;422;4;422;Clerical support workers;Client information workers;0;HU101;40;126783
12847;M;Széchenyi István Egyetem;Engineering Science;környezetmérnöki;NA;F;3331;333;3;325;Technicians and associate professionals;Other health associate professionals;1;HU101;40;193328
12848;F;Edutus Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;161000
12849;F;Apor Vilmos Katolikus Fõiskola;Social Science;szociálpedagógus;NA;F;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU102;40;108800
12850;F;Pázmány Péter Katolikus Egyetem;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;122500
12851;M;Pannon Egyetem;Arts and Humanities;német nyelv és irodalom;NA;E;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;30;286456
12852;F;Szolnoki Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;4223;422;4;422;Clerical support workers;Client information workers;0;HU101;40;94000
12853;F;Zsigmond Király Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;3641;364;3;334;Technicians and associate professionals;Administrative and specialised secretaries;1;HU101;40;132600
12854;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;szociológia;NA;P;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;520000
12855;F;Apor Vilmos Katolikus Fõiskola;Social services;csecsemõ- és gyermeknevelõ-gondozó;NA;A;3324;332;3;321;Technicians and associate professionals;Medical and pharmaceutical technicians;1;HU102;40;130000
12856;F;Kodolányi János Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;5131;513;5;512;"Clerical support workers; service and sales workers";Cooks;0;HU233;40;170500
12857;M;Debreceni Egyetem;Agricultural Science;állattenyésztõ mérnöki;Animal production engineer;B;6121;612;6;612;"Skilled agricultural; forestry and fishery workers";Animal producers;0;HU321;40;103736
12858;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;38;223850
12859;F;Szegedi Tudományegyetem;Arts and Humanities;szociológia;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;132600
12860;M;Nyíregyházi Fõiskola;Engineering Science;közlekedésmérnöki;Traffic engineering;B;3623;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU321;36;155500
12861;M;Budapesti Gazdasági Fõiskola;Economic Science;vendéglátó és szálloda;NA;F;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;299999
12862;F;Kodolányi János Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;3321;332;3;325;Technicians and associate professionals;Other health associate professionals;1;HU101;40;186500
12863;M;Miskolci Egyetem;Engineering Science;környezetmérnöki;Environmental engineering;B;2111;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU311;19;125000
12864;F;Magyar Táncmûvészeti Fõiskola;Arts;táncos és próbavezetõ;Dancer and rehearsal leader;B;5211;521;5;514;"Clerical support workers; service and sales workers";"Hairdressers; beauticians and related workers";0;HU211;20;54000
12865;M;Gábor Dénes Fõiskola;Engineering Science;mûszaki menedzser;Technical Manager;B;1419;141;1;121;Managers;Business services and administration managers;1;HU212;40;331100
12866;M;Széchenyi István Egyetem;Economic Science;gazdálkodási;NA;E;2531;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU101;40;98609
12867;F;Szegedi Tudományegyetem;Law;munkaügyi és társadalombiztosítási igazgatási;Labour and Social Security Administration;B;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;206500
